one,two,three,four1,four2,four3,four4,four5,four6,four7,four8,five1,five2,five3,five4,five5,five6,six,seven,eight,nine,ten,eleven,twelve
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,3,5,6,
5,5,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,0,1,4,4,
4,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,5,0,4,1,6,
4,5,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,4,5,4,
3,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,5,1,6,54.1
3,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,
3,1,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,4,5,6,
1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,1,2,5,0,44.2
3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,0,4,4,2,
4,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,0,4,3,4,55.2
4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,2,4,2,47
3,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,4,0,52
1,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,2,49.5
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,4,57
1,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,3,5,4,
4,2,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,4,1,4,4,3,
4,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,5,4,52.3
1,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,55
1,3,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,2,3,3,
3,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,1,4,4,3,52.2
1,5,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,1,4,3,5,53.2
4,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,3,2,2,50
3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,4,0,4,4,4,55.4
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,5,4,3,52
4,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,3,2,46
3,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,2,3,51.5
1,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,3,1,4,50.34
3,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,3,4,0,57
1,3,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,4,5,4,55.1
1,3,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,0,4,4,0,59
3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,3,5,3,49
4,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,1,3,5,5,53.2
1,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,5,3,6,
1,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,5,4,2,65
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,1,46
1,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,5,5,4,52.7
3,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,3,5,4,52.5
3,3,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,1,2,5,3,51.7
4,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,5,0,2,4,2,68.4
5,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,0,4,5,1,54.6
1,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,2,4,0,52.6
1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,5,0,5,3,5,55.7
3,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,2,5,2,52.3
2,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,2,4,2,50.4
4,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,69.8
4,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,4,5,4,69.8
4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,3,4,3,51.8
2,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,0,2,4,2,60
3,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,4,4,2,52.2
4,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,4,5,3,55.7
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,2,4,3,51.2
4,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,4,0,1,5,0,
2,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,0,4,5,3,49
3,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,5,3,55.4
4,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,3,4,3,52.8
3,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,4,1,4,4,4,53.4
2,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,5,5,4,
3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,5,5,6,60
2,5,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,4,4,5,53.4
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,4,5,3,51.6
3,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,2,4,3,52.1
2,3,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,5,0,3,4,3,54
2,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,4,3,3,
2,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,3,4,2,51.3
3,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,5,5,5,56
5,5,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,0,2,4,4,53.3
1,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,1,3,3,0,
2,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,3,4,3,50.8
5,5,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,0,3,3,6,63
2,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,1,3,4,4,54.3
1,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,5,0,3,5,4,66
3,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,0,5,2,4,59.6
5,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,3,4,5,60
4,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,4,0,2,5,0,
4,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,0,2,4,4,50
3,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,
1,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,3,0,4,5,4,54
1,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,3,4,5,54.3
2,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,5,3,53
3,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,4,4,3,
1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,2,1,5,65
4,3,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,0,2,5,0,49
3,4,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,3,1,4,3,1,54.2
3,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,6,59
2,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,3,4,3,53
1,3,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,4,0,3,4,1,54.5
4,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,5,0,5,5,3,53
1,4,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,3,1,3,
3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,1,3,1,5,56.6
1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,4,2,3,
3,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,5,1,1,2,3,51
2,3,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,3,0,59
3,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,2,1,4,56.8
3,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,2,1,4,56.8
1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,1,5,1,1,
3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,0,2,5,2,50
4,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,5,5,5,52.9
3,3,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,1,1,3,3,
2,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,1,4,5,4,
2,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,3,3,2,48.7
3,3,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,1,3,5,0,50.9
3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,0,5,2,4,
3,4,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,4,0,2,4,6,
2,2,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0,2,4,2,
1,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,2,4,0,
1,4,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,4,0,
1,4,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,4,1,3,5,5,61.2
1,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,0,4,1,3,53
4,4,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,0,4,4,5,
2,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,1,3,5,5,55.1
2,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,5,0,3,4,4,60
2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,4,4,5,53.3
3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,1,4,0,
2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,4,1,4,4,5,56.4
4,5,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,1,2,5,2,
2,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,3,5,3,59
3,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,3,3,0,58.5
2,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,0,3,4,4,56.8
2,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,1,3,4,2,
3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,2,4,4,
3,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,0,3,5,3,52.9
4,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,3,5,2,
2,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,5,1,2,5,2,
1,4,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2,0,5,3,4,56
5,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,5,0,2,4,3,
4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4,0,3,4,3,53.9
3,4,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,3,5,2,
2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,1,3,3,3,60
4,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4,0,1,3,3,52.1
1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,3,3,2,
4,3,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,4,1,2,4,2,50.6
1,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,5,0,3,3,2,51
1,5,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,5,3,54.6
3,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,2,4,2,49.3
2,5,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,1,4,0,
2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,5,0,4,5,5,52
